sample	input_reads	filtered_reads
SRR2016338	5405	4903
SRR2016339	4735	4227
SRR2016340	4214	3793
SRR2016341	5670	5092
SRR2016342	7750	6927
SRR2016343	4829	4341
SRR2016344	7246	6509
SRR2016345	4202	3755
SRR2016346	8652	7729
SRR2016347	4241	3781
SRR2016348	5900	5233
SRR2016349	5471	4907
SRR2016350	9623	8559
SRR2016351	7796	6872
SRR2016352	9587	8645
SRR2016353	6087	5422
SRR2016354	5085	4545
SRR2016355	7204	6423
SRR2016356	6034	5386
SRR2016357	9252	8166
SRR2016358	5570	4896
SRR2016359	5743	5175
SRR2016360	6298	5623
SRR2016361	7593	6795
SRR2016362	5076	4388
SRR2016363	7285	6448
SRR2016364	6496	5847
SRR2016365	7143	6383
SRR2016366	3182	2777
SRR2016367	5467	4846
SRR2016368	9365	8257
SRR2016369	4281	3831
SRR2016370	3537	3120
SRR2016371	7240	6299
SRR2016372	4491	4050
SRR2016373	4980	4409
SRR2016374	5705	5115
SRR2016375	94	86
SRR2016376	6334	5467
SRR2016377	5709	5010
SRR2016378	2184	1923
SRR2016379	2566	2244
SRR2016380	4822	4137
SRR2016381	2914	2507
SRR2016382	4210	3665
SRR2016383	4116	3715
SRR2016384	65	18
SRR2016385	9666	4995
SRR2016386	336	78
SRR2016387	35	13
