sample	raw_reads	cutadapt_trimmed	filtered_reads	mapped_to_OTUs
SRR2016338	5405	5405	4903	4652
SRR2016339	4735	4735	4227	4029
SRR2016340	4214	4214	3793	3616
SRR2016341	5670	5670	5092	4861
SRR2016342	7750	7750	6927	6731
SRR2016343	4829	4829	4341	4196
SRR2016344	7246	7246	6509	6310
SRR2016345	4202	4202	3755	3610
SRR2016346	8652	8652	7729	7542
SRR2016347	4241	4241	3781	3360
SRR2016348	5900	5900	5233	5098
SRR2016349	5471	5471	4907	4802
SRR2016350	9623	9623	8559	8444
SRR2016351	7796	7796	6872	6700
SRR2016352	9587	9587	8645	8466
SRR2016353	6087	6087	5422	5254
SRR2016354	5085	5085	4545	4355
SRR2016355	7204	7204	6423	6062
SRR2016356	6034	6034	5386	5220
SRR2016357	9252	9252	8166	7972
SRR2016358	5570	5570	4896	4737
SRR2016359	5743	5743	5175	5038
SRR2016360	6298	6298	5623	5519
SRR2016361	7593	7593	6795	6606
SRR2016362	5076	5076	4388	4121
SRR2016363	7285	7285	6448	6287
SRR2016364	6496	6496	5847	5652
SRR2016365	7143	7143	6383	6215
SRR2016366	3182	3182	2777	2611
SRR2016367	5467	5467	4846	4681
SRR2016368	9365	9365	8257	8057
SRR2016369	4281	4281	3831	3718
SRR2016370	3537	3537	3120	2736
SRR2016371	7240	7240	6299	5565
SRR2016372	4491	4491	4050	3868
SRR2016373	4980	4980	4409	4145
SRR2016374	5705	5705	5115	4797
SRR2016375	94	94	86	76
SRR2016376	6334	6334	5467	5154
SRR2016377	5709	5709	5010	4520
SRR2016378	2184	2184	1923	1606
SRR2016379	2566	2566	2244	2014
SRR2016380	4822	4822	4137	3605
SRR2016381	2914	2914	2507	2245
SRR2016382	4210	4210	3665	3481
SRR2016383	4116	4116	3715	3557
SRR2016384	65	65	18	16
SRR2016385	9666	9666	4995	4592
SRR2016386	336	336	78	66
SRR2016387	35	35	13	11
