sample	raw_reads	cutadapt_trimmed
SRR2016338	5405	5405
SRR2016339	4735	4735
SRR2016340	4214	4214
SRR2016341	5670	5670
SRR2016342	7750	7750
SRR2016343	4829	4829
SRR2016344	7246	7246
SRR2016345	4202	4202
SRR2016346	8652	8652
SRR2016347	4241	4241
SRR2016348	5900	5900
SRR2016349	5471	5471
SRR2016350	9623	9623
SRR2016351	7796	7796
SRR2016352	9587	9587
SRR2016353	6087	6087
SRR2016354	5085	5085
SRR2016355	7204	7204
SRR2016356	6034	6034
SRR2016357	9252	9252
SRR2016358	5570	5570
SRR2016359	5743	5743
SRR2016360	6298	6298
SRR2016361	7593	7593
SRR2016362	5076	5076
SRR2016363	7285	7285
SRR2016364	6496	6496
SRR2016365	7143	7143
SRR2016366	3182	3182
SRR2016367	5467	5467
SRR2016368	9365	9365
SRR2016369	4281	4281
SRR2016370	3537	3537
SRR2016371	7240	7240
SRR2016372	4491	4491
SRR2016373	4980	4980
SRR2016374	5705	5705
SRR2016375	94	94
SRR2016376	6334	6334
SRR2016377	5709	5709
SRR2016378	2184	2184
SRR2016379	2566	2566
SRR2016380	4822	4822
SRR2016381	2914	2914
SRR2016382	4210	4210
SRR2016383	4116	4116
SRR2016384	65	65
SRR2016385	9666	9666
SRR2016386	336	336
SRR2016387	35	35
