contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5492_S3_1	6.7866	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_2	499.2763	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_3	11.1763	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_4	21.4599	1855283	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. JS21-1
c_5492_S3_5	10.7692	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_6	13.3740	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_7	19.2278	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_8	17.5175	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5492_S3_9	3.8889	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_10	9.8075	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_11	47.4047	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5492_S3_12	11.9637	33882	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA
c_5492_S3_13	4.5257	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14	268.6182	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_15	17.6935	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_16	13.6018	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_17	218.2752	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_18	26.6657	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_19	17.7899	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5492_S3_20	6.0841	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5492_S3_21	12.9471	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_22	6.0868	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_23	328.3219	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_24	7.4011	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_25	20.8491	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_26	10.7043	204457	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	NA
c_5492_S3_27	22.6202	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_28	4.1270	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_29	8.5550	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_30	8.4484	2066053	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. UMB0893
c_5492_S3_31	10.7636	1386	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
c_5492_S3_32	4.4379	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_33	8.5983	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_34	6.7762	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_35	5.1836	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_36	27.0559	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_37	13.0031	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_38	24.3238	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_39	6.2722	1385	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
c_5492_S3_40	12.4252	1822464	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	NA
c_5492_S3_41	18.1350	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_42	3.7278	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_43	14.5276	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_44	6.1790	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_45	11.6192	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_46	15.2922	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_47	51.9055	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_48	223.9099	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_49	355.9395	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_50	10.4485	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_51	12.7762	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_52	9.6454	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_53	6.4821	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_54	11.4438	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_55	9.2681	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_56	16.0170	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_57	6.6825	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_58	21.0985	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_59	16.3531	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_60	7.9943	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_61	6.8605	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_62	18.6818	2035208	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. 64
c_5492_S3_63	13.5102	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_64	18.8277	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_65	7.3201	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_66	6.0767	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_67	8.9831	80840	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	NA
c_5492_S3_68	15.8098	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_69	438.1609	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_70	10.9637	201096	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	NA
c_5492_S3_71	9.1467	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_72	4.0107	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_73	6.8060	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_74	158.6788	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_75	12.1318	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_76	574.8371	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_77	321.8588	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_78	230.0294	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_79	13.5383	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5492_S3_80	9.2101	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_81	12.1970	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_82	319.4575	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_83	6.8516	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5492_S3_84	163.1507	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_85	30.5052	56	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum
c_5492_S3_86	88.5340	312063	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	NA
c_5492_S3_87	6.3736	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_88	4.8321	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_89	398.2334	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_90	12.7094	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_91	306.4897	NA	NA	NA	NA	NA	NA	NA	NA
