KO_ID	KO_function	5492_S3	5501_S5
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	40.952048183613634	93.8022789599868
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	9.709401215983926	41.96065190210081
K00013	histidinol dehydrogenase [EC:1.1.1.23]	17.678305409997307	112.425920980874
K00014	shikimate dehydrogenase [EC:1.1.1.25]	94.03020357552292	224.50490287468793
K00015	glyoxylate reductase [EC:1.1.1.26]	9.222482097627712	27.361239119362335
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	9.283467742218656	0.0
K00018	glycerate dehydrogenase [EC:1.1.1.29]	31.80579366932474	0.0
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	47.547299482374555	68.36347203626474
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	57.92684509447956	115.5134865542155
K00024	malate dehydrogenase [EC:1.1.1.37]	0.0	19.649696743230397
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	10.513198809740372	7.3152264815411705
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	14.896919932503295	2.699874109334396
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	0.0	14.973856810578802
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	61.579471955729396	86.54433501401138
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	39.57993379391553	78.30885847992242
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	20.915410544373017	65.98689752745814
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	9.64356748993679	22.21206557305648
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	10.216303016947379	2.888174177077519
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	34.37575986029021	93.46612041115634
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	0.0	5.40155468723699
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	105.02643946053466	173.83627607375178
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	103.6854529739132	223.15776293264247
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	447.6814483793436	1029.0902888159283
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	91.50565907761009	18.14630698223241
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0.0	26.798495023778884
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	261.686592272626	239.82222180594283
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	7.399102561315766	0.0
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	89.82439451948248	211.02417974549414
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	91.3857093131682	115.62243797571037
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	8.190842565029884	0.0
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	148.92062906247372	323.5345774124229
K00088	IMP dehydrogenase [EC:1.1.1.205]	1.8107673686860686	6.0224748404737
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	35.011770900623816	90.96932833279514
K00093	methanol dehydrogenase [EC:1.1.1.244]	32.36758076146009	31.136253392672586
K00095	mannitol dehydrogenase [EC:1.1.1.255]	86.41418962064154	95.83577983598141
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	5.668784721443274	20.016817774831903
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	107.78957754656997	157.0707520825984
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	28.65443338520552	101.49035666912536
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	48.39657243798204	77.15722505549967
K00108	choline dehydrogenase [EC:1.1.99.1]	41.005985326013665	136.83480772800476
K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	40.9312425794308	71.63343266181461
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	122.62200547298633	221.6423494722497
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	57.116732472110435	103.19925651024738
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	36.81268110000228	80.4242914464618
K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	34.12943796519701	57.836849474691064
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0.0	73.33279512587227
K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	27.153245535336197	2.164304739846735
K00127	formate dehydrogenase subunit gamma	94.95860222958325	14.132664038381186
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	16.696720976714662	0.0
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	13.130375653705407	0.0
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	19.66195786795498	124.5980810129303
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	38.26454732413467	15.43530269559073
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7.157664526877694	120.26649960107623
K00138	aldehyde dehydrogenase [EC:1.2.1.-]	20.024937841187676	65.62303979391531
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	49.925167154238366	149.583211808923
K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	67.54289838043252	97.2977179418769
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	69.76251465539065	109.06212111174385
K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	10.218413989684759	9.027914079338432
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	8.630873043176983	0.0
K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	40.62311211817107	92.05728859628724
K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	37.88868683928405	129.2616253046822
K00161	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	6.565590342840764	24.584813476401408
K00162	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	9.362808115865134	17.655238897580677
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	203.76139302129764	164.8374791598298
K00164	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	0.0	22.93546882485031
K00196	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	13.621230483944872	0.0
K00200	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	9.761889300826937	0.0
K00201	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	8.353673699399723	0.0
K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	103.08958619478875	161.919352568428
K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	8.766136304764585	18.9644624240872
K00217	maleylacetate reductase [EC:1.3.1.32]	26.17692064429754	0.0
