contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5501_S5_1	24.3016	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_2	16.9122	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_3	19.2835	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_4	16.2396	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_5	294.3765	1454001	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Accumulibacter	Candidatus Accumulibacter sp. SK-12
c_5501_S5_6	25.1730	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_7	13.9508	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
c_5501_S5_8	93.6693	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_9	18.6355	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_10	463.6292	1773	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
c_5501_S5_11	73.0968	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_12	18.9481	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_13	194.8271	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_14	30.0169	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_15	122.0782	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_16	287.1812	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17	26.5642	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_18	11.5683	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_19	68.8353	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_20	18.1964	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_21	16.6229	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_22	22.8997	80840	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	NA
c_5501_S5_23	25.2386	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_24	12.7657	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5501_S5_25	20.8075	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_26	12.7321	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_27	25.4488	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
c_5501_S5_28	127.3852	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_29	18.5910	1344552	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	NA
c_5501_S5_30	22.0539	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5501_S5_31	22.6958	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_32	37.9473	1736272	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Leaf139
c_5501_S5_33	21.0325	1873462	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	Microbacteriaceae bacterium
c_5501_S5_34	21.8966	2320863	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. K1R23-30
c_5501_S5_35	219.9921	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_36	140.7622	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_37	27.4033	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_38	17.5299	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_39	359.5896	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_40	24.0990	370959	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas mucosissima
c_5501_S5_41	177.7673	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_42	164.4146	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_43	17.4783	2653152	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
c_5501_S5_44	364.3452	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_45	67.9271	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_46	24.0778	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5501_S5_47	19.1861	196159	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_48	16.1092	80840	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	NA
c_5501_S5_49	20.2901	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_50	12.0797	119060	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA
c_5501_S5_51	12.6431	1926873	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA	Xanthomonadaceae bacterium
c_5501_S5_52	70.5263	1882437	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp.
c_5501_S5_53	19.6517	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5501_S5_54	33.6190	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_55	13.4891	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_56	11.3020	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5501_S5_57	266.1029	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_58	25.9611	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_59	90.9733	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_60	19.1252	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_61	20.3297	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_62	21.7107	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5501_S5_63	99.7217	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5501_S5_64	234.9870	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_65	17.2965	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5501_S5_66	29.8070	945844	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia oculi
c_5501_S5_67	140.5934	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5501_S5_68	56.2566	1454000	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Accumulibacter	Candidatus Accumulibacter sp. SK-11
