#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	5501_S5	5492_S3
UNKNOWN	-1	90.8137	94.87185
k__Bacteria	2	8.947128714939065	4.862663404213153
k__Bacteria|p__Actinobacteria	2|201174	0.0009287349783563312	0.012210122024673257
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.0009287349783563312	0.012210122024673257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0.0009287349783563312	0.012210122024673257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.0009287349783563312	0.012210122024673257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	2|201174|1760|85009|31957|1912216	0.0009287349783563312	0.012210122024673257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	2|201174|1760|85009|31957|1912216|1747	0.0009287349783563312	0.012210122024673257
k__Bacteria|p__Firmicutes	2|1239	0	0.01905876459668129
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0	0.01905876459668129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0	0.01905876459668129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0	0.01905876459668129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	2|1239|91061|1385|186817|1386	0	0.01905876459668129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_firmus	2|1239|91061|1385|186817|1386|1399	0	0.0004405079722467168
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_UMB0893	2|1239|91061|1385|186817|1386|2066053	0	0.018618256624434573
k__Bacteria|p__Proteobacteria	2|1224	8.946199979960708	4.831394517591797
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	8.317613590282178	3.7668934130635856
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	7.792575179595065	3.5198884393124623
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2|1224|28211|204458|76892	7.792575179595065	3.5198884393124623
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	2|1224|28211|204458|76892|75	7.792575179595065	3.5198884393124623
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp_774	2|1224|28211|204458|76892|75|2172652	7.78310226654184	3.511342892339797
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp_FWC26	2|1224|28211|204458|76892|75|69665	0.009472913053225014	0.008545546972665062
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	2|1224|28211|356	0	0.001417420297194325
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	0	0.001417420297194325
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium	2|1224|28211|356|119045|407	0	0.001417420297194325
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_aquaticum	2|1224|28211|356|119045|407|270351	0	0.0007020435553035568
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_frigidaeris	2|1224|28211|356|119045|407|2038277	0	0.0007153767418907682
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.5250384106871111	0.2455875534539289
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	2|1224|28211|204457|41297	0.5250384106871111	0.2455875534539289
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Hephaestia	2|1224|28211|204457|41297|1445609	0.003980423997248253	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Hephaestia|s__Hephaestia_caeni	2|1224|28211|204457|41297|1445609|645617	0.003980423997248253	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium	2|1224|28211|204457|41297|165695	0.4913577586134648	0.2395712094138841
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_yanoikuyae	2|1224|28211|204457|41297|165695|13690	0.4913577586134648	0.2395712094138841
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	2|1224|28211|204457|41297|13687	0.029701146706446	0.006015831225176059
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_dokdonensis	2|1224|28211|204457|41297|13687|344880	0.0034953873319939076	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_koreensis	2|1224|28211|204457|41297|13687|93064	0	0.000251279285682062
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_Ag1	2|1224|28211|204457|41297|13687|1642949	0.004621627770633732	0.0011461412316314456
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_RIT328	2|1224|28211|204457|41297|13687|1470591	0.021583212973770527	0.00461892352273129
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.6285863896785312	1.064501104528213
