# Pathway	5492_S3_Abundance	5501_S5_Abundance
UNINTEGRATED|g__Acidovorax.s__Acidovorax_avenae	802933.2163660611	2000349.0467930161
UNINTEGRATED|g__Caulobacter.s__Caulobacter_sp_774	530898.5178958919	1159451.7625363534
UNINTEGRATED|g__Massilia.s__Massilia_sp_BSC265	878110.6820685883	0
UNINTEGRATED|g__Massilia.s__Massilia_sp_LC238	3683079.5792029095	2572494.3326583491
UNINTEGRATED|g__Sphingobium.s__Sphingobium_yanoikuyae	43944.1776595888	98746.3402988460
UNINTEGRATED|unclassified	195268.1051072056	263448.3314311189
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Acidovorax.s__Acidovorax_avenae	298.2122927948	798.0710632016
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	301.6022271191	585.4210311142
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Massilia.s__Massilia_sp_LC238	2491.2245293501	1925.4821880635
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	0	35.3017628338
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	642.3833443668	803.7911115894
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	261.9706395908	411.8504491475
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Caulobacter.s__Caulobacter_sp_774	253.5466388509	512.6265617011
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	605.1314751158	650.4767947790
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	188.9739710440	269.2099760887
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	361.2915220722	83.0305937997
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Acidovorax.s__Acidovorax_avenae	1032.4927753001	2282.9294963418
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Caulobacter.s__Caulobacter_sp_774	274.4887286495	578.8175625741
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Massilia.s__Massilia_sp_BSC265	1401.0399517680	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Massilia.s__Massilia_sp_LC238	2927.0569512427	2647.3020813791
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Sphingobium.s__Sphingobium_yanoikuyae	34.3401459363	58.3544538194
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	437.4489609709	583.1428704950
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Acidovorax.s__Acidovorax_avenae	1105.4892433728	2511.4991247564
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Caulobacter.s__Caulobacter_sp_774	261.0145264528	525.2377377645
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Massilia.s__Massilia_sp_BSC265	1523.7385593919	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Massilia.s__Massilia_sp_LC238	3244.9610535804	2912.6958076551
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Sphingobium.s__Sphingobium_yanoikuyae	33.0922167520	56.7008392993
