# Pathway	5492_S3_Coverage	5501_S5_Coverage
UNMAPPED	1.0000000000	1.0000000000
UNINTEGRATED	1.0000000000	1.0000000000
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.6171713126	0.0000000000
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.0000000000	0.0000000000
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000	0.0000000000
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0000000000	0.0000000000
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0000000000	0.0000000000
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0000000000	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.0000000000	0.0000000000
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	1.0000000000	1.0000000000
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	1.0000000000	1.0000000000
ARO-PWY: chorismate biosynthesis I	0.0000000000	0.0000000000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0000000000	0.0000000000
AST-PWY: L-arginine degradation II (AST pathway)	0.0000000000	0.0000000000
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0000000000	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	1.0000000000	1.0000000000
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.0000000000	0.0000000000
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0.0000000000	0.0000000000
CITRULBIO-PWY: L-citrulline biosynthesis	0.0000000000	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.9999997970	0.9999827818
COA-PWY: coenzyme A biosynthesis I	1.0000000000	0.9999827818
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.0000000055	0.0000000000
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.0000000000	0.0000000000
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0000000000	0.0000000000
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.5299281467	0.9999791673
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0.0000000000	0.0000000000
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0000000000	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	1.0000000000	1.0000000000
FAO-PWY: fatty acid &beta;-oxidation I	1.0000000000	1.0000000000
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0000000000	0.0000000000
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.9999980920	1.0000000000
FERMENTATION-PWY: mixed acid fermentation	0	0.0000000000
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.0000000000	0.0000000000
GALACTARDEG-PWY: D-galactarate degradation I	0.0000000000	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I	0.0000000000	0.0000000000
GALLATE-DEGRADATION-I-PWY: gallate degradation II	0.0000000000	0.0000000000
GALLATE-DEGRADATION-II-PWY: gallate degradation I	0.0000000000	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0000000000	0.0000000000
GLUCARDEG-PWY: D-glucarate degradation I	0.0000000000	0.0000000000
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.0000000000	0.0000000000
GLUCONEO-PWY: gluconeogenesis I	0.0000000000	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0000000000	0.0000000000
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.0000000000	0.0000000000
GLUDEG-I-PWY: GABA shunt	0.0000000000	0.0000000000
GLUTORN-PWY: L-ornithine biosynthesis	1.0000000000	1.0000000000
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.0000000000	0.0000000000
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0000000000	0.0000000000
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.0000000000	0.0000000000
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.0000000000	0.0000000000
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.0000000000	0.0000000000
GLYOXYLATE-BYPASS: glyoxylate cycle	0.0000000000	0.0000000000
